,,,,,,,,,,,,,,,,,,,,,
,,TAHUN (YYYY) : ,,,,,2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,002,REGIONAL : ,,,,,Regional.2,,,,,,,,,,,,,,
,RegP2,,,,,,,,,,,,,,,,,,,,
,38,CABANG / TERMINAL : ,,,,,Banten,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,,Utilisasi Infrastruktur,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Bulan,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,
,,,,,,,,,,,,,,,,,,,,,
,,No,Uraian,,,,,Satuan,2026,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total
,,1,2,,,,,3,4,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,
,,1,Terminal Petikemas,,,,,,,,,,,,,,,,,,
,A21010000,,1,BOR,,,,%,,,,,,,,,,,,,
,A21020000,,2,YOR,,,,%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,2,Terminal Multipurpose,,,,,,,,,,,,,,,,,,
,A22010000,,1,BOR,,,,%,22.62,14.34,13.28,20.55,21.94,,,,,,,,
,A22030000,,2,YOR,,,,%,,,4.72,6.82,1.36,,,,,,,,
,A22050000,,3,SOR,,,,%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,3,Terminal Curah Cair,,,,,,,,,,,,,,,,,,
,A23010000,,,BOR,,,,%,47.69,35.37,47.88,31.29,24.31,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,4,Terminal Curah Kering,,,,,,,,,,,,,,,,,,
,A24010000,,1,BOR,,,,%,8.80,50.61,29.80,28.36,41.49,,,,,,,,
,A24020000,,2,YOR,,,,%,,,,,,,,,,,,,
,A24030000,,3,SOR,,,,%,10.43,28.24,66.82,49.22,59.61,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,5,Terminal Kendaraan,,,,,,,,,,,,,,,,,,
,A25010000,,1,BOR,,,,%,,,,,,,,,,,,,
,A25020000,,2,YOR,,,,%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,6,Terminal Pelra,,,,,,,,,,,,,,,,,,
,A26010000,,1,BOR,,,,%,,,,,,,,,,,,,
,A26020000,,2,YOR,,,,%,,,,,,,,,,,,,
,A26030000,,3,SOR Gudang Multipurpose,,,,%,,,,,,,,,,,,,
,A26040000,,4,SOR Gudang CFS,,,,%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2,,Utilisasi Suprastruktur,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,No,Uraian,,,,,Satuan,2026,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total
,,1,2,,,,,3,4,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,
,,1,Pelayanan Kapal,,,,,,,,,,,,,,,,,,
,,,1,Kesiapan alat apung,,,,,,,,,,,,,,,,,
,B21010100,,,1,Kapal Tunda,,,%,98.16,100,100,100,100,,,,,,,,99.63
,B21010200,,,2,Kapal Pandu,,,%,,,,,,,,,,,,,
,B21010300,,,3,Kapal Kepil,,,%,,,,,,,,,,,,,
,B21010400,,,4,Kapal Keruk,,,%,,,,,,,,,,,,,
,B21010500,,,5,Kapal Wisata,,,%,,,,,,,,,,,,,
,B21010600,,,6,Tongkang,,,%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,2,Utilisasi alat apung,,,,,,,,,,,,,,,,,
